Address,Subdivision Name,City,Cumulative Days On Market,Days On Market,SqFt,Fireplaces Total,Heating,Year Built,Utilities,Longitude,Latitude,HOA Fee,HOA Fee Frequency,HOA Type,Cooling,County,Covered Spaces,Carport Spaces,Close Date,Close Price,Bath Full,Baths Half,Baths Total,# Dining Areas,# Living Areas,Beds Total,Bath Total,Acres,Current Price
720 Savanna  Drive ,Fountain View Ph 4,Josephine,4,4,"2,152",0,"Central, Electric",2016,"Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Connected, Individual Water Meter",-96.319029,33.056828,$300,Annually,Mandatory,"Ceiling Fan(s), Central Air",Collin,2,0.0,04/28/2022,"$335,800",2,1,2/1,1,1,4,3,0.168,"$335,800"
1021 Highland Station  Drive ,Highland Stationsaginaw,Saginaw,7,7,"1,753",1,"Central, Natural Gas",1995,"City Sewer, City Water",-97.34623,32.873309,,,None,"Central Air, Electric",Tarrant,2,0.0,05/02/2022,"$336,000",2,0,2/0,2,1,3,2,0.126,"$336,000"
8812 Pedernales  Trail ,River Trails Add,Fort Worth,5,5,"1,440",1,Central,1993,"City Sewer, City Water",-97.188017,32.800655,,,None,"Ceiling Fan(s), Central Air",Tarrant,2,2.0,05/13/2022,"$336,000",2,0,2/0,1,1,3,2,0.123,"$336,000"
1826 Wildwood  Drive ,Wildwood Oaks,Grand Prairie,5,5,"1,921",2,"Central, Electric",1970,"City Sewer, City Water",-97.034871,32.767108,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/18/2022,"$336,000",2,0,2/0,2,1,3,2,0.281,"$336,000"
209 Singleton  Drive ,Creekview Estates Ph 2,Royse City,5,5,"1,811",0,Electric,2004,"City Sewer, City Water",-96.334237,32.958824,,,None,Central Air,Rockwall,2,0.0,05/10/2022,"$336,000",2,0,2/0,1,1,3,2,0.174,"$336,000"
2405 Concina  Way ,Little Chapel Creek,Fort Worth,5,5,"1,859",1,"Central, Electric",2002,"City Sewer, City Water",-97.508043,32.737695,,,None,"Central Air, Electric",Tarrant,2,0.0,04/27/2022,"$336,500",2,0,2/0,2,2,4,2,0.12,"$336,500"
1440 Lakeview  Drive ,Lakeview Estates Ph 1,Pelican Bay,5,5,"2,084",0,"Central, Electric",2020,"City Sewer, City Water, Concrete, Curbs, Other",-97.519784,32.928099,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,0,2.0,05/18/2022,"$336,675",2,0,2/0,1,1,4,2,0.147,"$336,675"
4509 Miramar  Drive ,Peninsula,Rowlett,6,6,"1,743",1,"Electric, Fireplace(s)",1984,"Alley, City Sewer, City Water, Concrete, Curbs, Overhead Utilities, Sidewalk",-96.530988,32.901878,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,4,2.0,04/18/2022,"$337,000",2,0,2/0,1,1,3,2,0.135,"$337,000"
313 Bryan  Place ,Bryan Place at the Cedar,Cedar Hill,5,5,"1,766",1,Central,1985,"Cable Available, City Sewer, City Water",-96.953447,32.60147,,,None,Central Air,Dallas,2,0.0,04/29/2022,"$337,000",2,0,2/0,2,1,3,2,0.184,"$337,000"
1926 Village Creek  Drive ,Villages Of Valley Creek 01,Garland,3,3,"1,323",1,"Central, Electric",1988,"City Sewer, City Water, Sidewalk",-96.602171,32.940624,$300,Semi-Annual,Mandatory,"Central Air, Electric",Dallas,2,0.0,05/06/2022,"$337,000",2,0,2/0,1,1,3,2,0.117,"$337,000"
3124 Alta Mesa  Drive ,Walker Williams,Dallas,4,4,"1,643",0,"Central, Electric",2018,"City Sewer, City Water, Curbs, Sidewalk",-96.770482,32.658419,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/09/2022,"$337,000",2,0,2/0,1,1,4,2,0.392,"$337,000"
8017 Weatherly  Drive ,Spinnaker Cove,Rowlett,5,5,"1,814",1,"Central, Natural Gas",1986,"City Sewer, City Water",-96.519749,32.932603,,,None,"Central Air, Electric",Dallas,2,0.0,05/16/2022,"$337,000",2,0,2/0,2,1,4,2,0.174,"$337,000"
717 Rain Lily  Drive ,Summer Mdw Ph 02,DeSoto,11,11,"1,868",1,"Electric, Fireplace(s)",2012,"City Sewer, City Water, Sidewalk",-96.842218,32.569073,$200,Annually,Mandatory,"Central Air, Electric",Dallas,2,2.0,05/10/2022,"$337,000",2,0,2/0,2,1,3,2,0.198,"$337,000"
202 Valley View  Drive ,Settlers Glen Add Ph 2,Waxahachie,4,4,"1,457",1,"Central, Electric, Fireplace(s)",2014,"City Sewer, City Water, Curbs, Individual Water Meter",-96.870437,32.441192,$290,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Ellis,2,0.0,05/23/2022,"$337,000",2,0,2/0,1,1,3,2,0.143,"$337,000"
1546 Shalfont  Lane ,Shalain Village,Garland,3,3,"1,574",1,Natural Gas,1990,"City Sewer, City Water",-96.608457,32.936711,,,None,Central Air,Dallas,2,0.0,04/22/2022,"$337,500",2,0,2/0,1,2,3,2,0.067,"$337,500"
400 Seagull  Court ,GARDEN ISLES 2ND INST REV,Irving,6,6,"1,439",1,"Central, Electric, Fireplace(s)",1986,"City Sewer, City Water",-96.962996,32.785923,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,0,0.0,04/25/2022,"$337,800",2,0,2/0,1,1,3,2,0.277,"$337,800"
4317 Crestover  Drive ,Meadowdale 04,Mesquite,10,10,"2,011",1,Natural Gas,1979,"Alley, City Sewer, City Water, Individual Gas Meter",-96.600951,32.823808,,,None,Central Air,Dallas,2,0.0,04/18/2022,"$337,900",2,0,2/0,1,2,3,2,0.171,"$337,900"
2114 Boyd  Street ,E K Rowe,Dallas,12,12,"1,597",1,Electric,1954,"City Sewer, City Water",-96.838688,32.724967,,,None,Central Air,Dallas,1,0.0,04/21/2022,"$338,000",2,0,2/0,1,1,3,2,0.148,"$338,000"
7916 Clear Brook  Circle ,Hulen Meadow Add,Fort Worth,4,4,"2,184",1,"Central, Electric",1989,"City Sewer, City Water",-97.377514,32.626533,,,None,"Ceiling Fan(s), Central Air",Tarrant,2,0.0,05/12/2022,"$338,000",2,0,2/0,2,2,4,2,0.227,"$338,000"
7836 Ashwood  Drive ,Cottonwood,Greenville,25,12,"2,156",0,"Central, Natural Gas",2022,"City Sewer, City Water",-96.079124,33.091794,$120,Annually,Mandatory,Central Air,Hunt,2,0.0,05/23/2022,"$338,032",3,0,3/0,1,1,4,3,0.14,"$338,032"
7326 Maringo  Drive ,Piedmont,Dallas,4,4,"2,154",0,Central,1954,"City Sewer, City Water",-96.697399,32.754258,,,None,Central Air,Dallas,2,0.0,04/22/2022,"$339,000",3,0,3/0,1,1,4,3,0.333,"$339,000"
723  W Milton  Drive ,South Ridge Hills Add,Arlington,4,4,"1,589",1,"Central, Electric, Natural Gas",2000,"City Sewer, City Water, Electricity Available, Individual Gas Meter",-97.117077,32.622991,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/06/2022,"$339,000",2,0,2/0,1,1,3,2,0.118,"$339,000"
1328 Mountain Air  Trail ,Lasater Add,Fort Worth,4,4,"1,816",1,"Central, Electric, Fireplace(s)",2006,"City Sewer, City Water, Individual Gas Meter",-97.338395,32.886439,$100,Quarterly,Mandatory,Central Air,Tarrant,2,0.0,05/04/2022,"$339,000",2,0,2/0,1,1,3,2,0.126,"$339,000"
7525 Diamond Springs  Trail ,Trail Lake Estates Add,Fort Worth,5,5,"1,770",1,Central,2006,"City Sewer, City Water, Curbs, Electricity Available",-97.39917,32.634324,,,None,"Ceiling Fan(s), Central Air",Tarrant,2,0.0,05/17/2022,"$339,000",2,0,2/0,1,1,4,2,0.14,"$339,000"
1101 Willow Crest  Drive ,Meadows At Longbranch Ph 3,Midlothian,8,8,"1,841",1,"Electric, Fireplace(s)",2010,"City Sewer, City Water",-96.912981,32.493617,$210,Annually,Mandatory,Ceiling Fan(s),Ellis,2,0.0,05/17/2022,"$339,000",2,0,2/0,1,1,3,2,0.207,"$339,000"
225 Maple  Court ,Windmill Ridge Estates Iv-B,Rockwall,13,13,"1,539",1,Other,2002,"City Sewer, City Water",-96.461335,32.89222,,,None,"Central Air, Electric",Rockwall,2,0.0,05/17/2022,"$339,000",2,0,2/0,1,1,3,2,0.138,"$339,000"
849 Arcadia  Street ,Parkwest,Saginaw,4,4,"1,615",1,"Central, Electric",1985,"City Sewer, City Water",-97.381565,32.848239,,,None,"Central Air, Electric",Tarrant,2,0.0,05/18/2022,"$339,000",2,0,2/0,1,1,3,2,0.252,"$339,000"
2712 Ingram  Road ,John C Herring,Sachse,3,3,"1,361",1,Central,1984,"City Sewer, City Water",-96.597011,32.981869,,,None,Central Air,Dallas,2,0.0,04/13/2022,"$340,000",2,0,2/0,1,1,3,2,0.172,"$340,000"
88 Elmwood  Trail ,River Oaks #4,Waxahachie,4,4,"1,840",1,Electric,2016,"City Sewer, City Water",-96.828726,32.403917,,,None,Electric,Ellis,2,0.0,04/22/2022,"$340,000",2,0,2/0,1,1,4,2,0.134,"$340,000"
8311 Redheart  Street ,Harris Crossing Ph I,Arlington,6,6,"1,628",1,"Central, Electric, Fireplace(s)",2004,"City Sewer, City Water, Curbs, Individual Water Meter, Sidewalk",-97.088466,32.603096,$79,Quarterly,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,04/22/2022,"$340,000",2,0,2/0,1,1,3,2,0.142,"$340,000"
909  N Ector  Drive ,Midway Park Add,Euless,4,4,"1,494",0,Central,1967,"Cable Available, City Sewer, City Water, Electricity Available, Individual Gas Meter, Individual Water Meter",-97.094644,32.849635,,,None,"Ceiling Fan(s), Central Air",Tarrant,1,0.0,04/28/2022,"$340,000",2,0,2/0,1,2,3,2,0.192,"$340,000"
6201 Winnebago ,Cheyenne Ridge,Fort Worth,4,4,"2,275",0,"Central, Electric",2005,"City Sewer, City Water",-97.418276,32.868676,,,None,"Attic Fan, Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,04/28/2022,"$340,000",2,1,2/1,2,2,3,3,0.16,"$340,000"
207  N Hampton  Road ,Kessler Plaza,Dallas,1,1,"1,519",1,"Central, Natural Gas",1941,"City Sewer, City Water",-96.85721,32.746439,,,None,"Central Air, Electric",Dallas,4,2.0,04/11/2022,"$340,000",2,0,2/0,1,2,2,2,0.17,"$340,000"
123 Windermere  Street ,Windchase Add Ph VI Sec II,Waxahachie,33,33,"1,805",0,Central,2013,"City Water, Individual Water Meter, Sidewalk",-96.819685,32.465978,,,None,Central Air,Ellis,0,0.0,04/25/2022,"$340,000",2,0,2/0,1,1,4,2,0.177,"$340,000"
8221 Cedarcrest  Lane ,Stone Meadow Add,Fort Worth,11,11,"2,358",1,"Central, Zoned",2003,"City Sewer, City Water, Concrete, Curbs, Sidewalk",-97.393402,32.622298,$198,Semi-Annual,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Zoned",Tarrant,2,0.0,04/29/2022,"$340,000",2,1,2/1,1,2,3,3,0.127,"$340,000"
3145 Josefina  Lane ,Heartland Ph 10a,Heartland,8,8,"1,763",1,"Central, Electric",2019,"Asphalt, Cable Available, MUD Sewer, MUD Water",-96.45513,32.677839,$225,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air",Kaufman,2,0.0,05/11/2022,"$340,000",2,0,2/0,1,1,3,2,0.14,"$340,000"
7117 Starnes  Road ,Windcrest Add,North Richland Hills,0,0,"2,099",1,Central,1986,All Weather Road,-97.227827,32.882407,,,None,Central Air,Tarrant,2,0.0,03/24/2022,"$340,000",2,0,2/0,2,1,3,2,0.268,"$340,000"
1929 Rainwater  Way ,Bear Creek Ranch Ph 02,Lancaster,10,10,"1,980",1,"Central, Fireplace(s)",2016,"All Weather Road, Cable Available, City Sewer, City Water, Curbs, Sidewalk",-96.759231,32.559399,$395,Annually,Mandatory,"Ceiling Fan(s), Central Air",Dallas,2,0.0,05/20/2022,"$340,000",2,0,2/0,1,2,4,2,0.158,"$340,000"
2722 Naples  Drive ,Carriagehouse Estates,Garland,6,6,"1,616",1,Natural Gas,1983,"City Sewer, City Water",-96.617526,32.939905,,,None,Gas,Dallas,0,0.0,04/28/2022,"$340,000",2,0,2/0,1,1,5,2,0.164,"$340,000"
5610 Trails Edge  Drive ,Overland Stage Estates,Arlington,7,7,"1,842",0,"Central, Electric",1978,"City Sewer, City Water",-97.19155,32.667515,,,None,"Ceiling Fan(s), Central Air",Tarrant,2,0.0,05/09/2022,"$340,000",2,0,2/0,1,1,3,2,0.173,"$340,000"
1118 Luckenbach  Drive ,Travis Ranch Ph 2b,Forney,10,10,"2,057",1,"Central, Electric",2012,"Concrete, Curbs, MUD Sewer, MUD Water, Sidewalk",-96.475381,32.797006,$360,Annually,Mandatory,"Central Air, Electric",Kaufman,2,0.0,04/28/2022,"$340,000",3,0,3/0,1,1,4,3,0.128,"$340,000"
4924 Calmont  Avenue ,Chamberlain Arlington Heights 1st,Fort Worth,3,3,"1,324",0,"Central, Natural Gas",1947,"City Sewer, City Water, Electricity Connected, Individual Gas Meter, Sidewalk",-97.394352,32.734158,,,None,Central Air,Tarrant,0,0.0,04/18/2022,"$340,000",1,1,1/1,1,1,3,2,0.144,"$340,000"
5102 Quince Orchard  Court ,Georgetown Add,Arlington,9,9,"1,841",1,"Central, Natural Gas",2003,"City Sewer, City Water",-97.212835,32.662574,$350,Semi-Annual,Mandatory,"Central Air, Electric",Tarrant,2,0.0,05/10/2022,"$340,000",2,0,2/0,1,2,3,2,0.116,"$340,000"
2262 Washington  Avenue ,Bankers Home Bldg Cos Sub,Fort Worth,4,4,"1,200",1,Central,1927,"City Sewer, City Water, Individual Gas Meter, Individual Water Meter, Sidewalk",-97.336543,32.71815,,,None,"Attic Fan, Ceiling Fan(s), Central Air, Electric",Tarrant,0,0.0,04/18/2022,"$340,000",1,0,1/0,1,1,2,1,0.115,"$340,000"
2845 Gardendale  Drive ,Bluffs*,Fort Worth,5,5,"1,905",0,"Central, Electric",2008,"City Sewer, City Water, Curbs",-97.180213,32.737659,$245,Quarterly,Mandatory,"Central Air, Electric",Tarrant,2,0.0,04/21/2022,"$340,000",2,0,2/0,2,1,3,2,0.0,"$340,000"
14469 Cloudview  Way ,SENDERA RANCH EAST PHASE 15 BLK 109 LOT 5,Haslet,3,3,"1,334",0,"Central, Electric",2019,"City Sewer, City Water, Concrete, Curbs, Sidewalk, Underground Utilities",-97.363578,32.994031,$126,Quarterly,Mandatory,"Central Air, Electric, Gas",Tarrant,2,0.0,05/06/2022,"$340,000",2,0,2/0,1,1,3,2,0.132,"$340,000"
7205 Seascape  Drive ,Lakecrest Estates,Rowlett,13,13,"2,172",1,Central,1986,"Alley, Cable Available, City Sewer, City Water, Curbs",-96.532979,32.884878,,,None,Central Air,Dallas,0,0.0,05/12/2022,"$340,000",3,0,3/0,1,2,4,3,0.166,"$340,000"
1710 Western Park  Drive ,Western Park,Dallas,38,4,"1,674",0,Central,1965,City Sewer,-96.897753,32.726823,,,None,Electric,Dallas,0,0.0,04/28/2022,"$340,000",1,1,1/1,1,1,3,2,0.174,"$340,000"
7014 Radcliff  Drive ,Everglade Park,Dallas,7,7,"1,857",1,Electric,2000,"Asphalt, City Sewer, City Water",-96.698884,32.781754,,,None,"Ceiling Fan(s), Central Air",Dallas,2,2.0,05/13/2022,"$340,000",2,0,2/0,1,2,3,2,0.139,"$340,000"
341 Foxhunter  Street ,Watersbend South,Fort Worth,5,5,"1,620",0,"Central, Electric",2019,"Cable Available, City Sewer, City Water, Community Mailbox, Concrete, Curbs, Electricity Connected, Individual Water Meter, Phone Available, Sidewalk, Underground Utilities",-97.366967,32.904913,$400,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/06/2022,"$340,000",2,0,2/0,1,1,4,2,0.158,"$340,000"
709 Woodlawn  Lane ,Cross Timbers,Grand Prairie,4,4,"2,524",2,"Central, Electric",1977,"City Sewer, City Water",-97.013089,32.680746,,,None,"Central Air, Electric",Dallas,2,2.0,05/09/2022,"$340,000",2,0,2/0,1,2,3,2,0.192,"$340,000"
925 Honey Locust  Lane ,Lasater Ranch,Crowley,3,3,"2,580",1,Central,2005,"City Sewer, City Water",-97.371572,32.565897,$220,Annually,Mandatory,Electric,Tarrant,2,0.0,05/12/2022,"$340,000",2,1,2/1,2,2,4,3,0.149,"$340,000"
308 Citrus  Drive ,Woodcreek Ph 7b,Fate,5,5,"1,621",1,Electric,2017,"Electricity Available, MUD Sewer, MUD Water",-96.379189,32.950957,$97,Quarterly,Mandatory,"Ceiling Fan(s), Central Air, Electric",Rockwall,2,0.0,04/29/2022,"$340,000",2,0,2/0,1,1,3,2,0.129,"$340,000"
1033 Wade Hampton  Street ,Benbrook Lakeside Add,Benbrook,6,6,"1,902",1,"Central, Natural Gas",1956,"City Sewer, City Water",-97.460358,32.674478,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,0,0.0,05/11/2022,"$340,000",2,0,2/0,2,3,3,2,0.387,"$340,000"
1121 Autumnwood  Drive ,Ashwood Park,Azle,5,5,"1,833",0,Electric,2017,"Cable Available, City Sewer, City Water",-97.518609,32.883001,$440,Annually,Mandatory,"Central Air, Electric",Tarrant,2,2.0,05/19/2022,"$340,000",2,0,2/0,1,2,4,2,0.12,"$340,000"
6917 Whitman  Avenue ,Wedgwood Add,Fort Worth,5,5,"2,051",1,"Central, Natural Gas",1972,"Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available, Overhead Utilities, Phone Available",-97.40067,32.646084,,,None,"Attic Fan, Ceiling Fan(s), Central Air, Electric",Tarrant,4,2.0,05/06/2022,"$340,000",2,0,2/0,2,2,4,2,0.234,"$340,000"
815 Calvert  Drive ,Waterford Oaks West,Cedar Hill,5,5,"2,021",1,"Central, Electric",2004,"Cable Available, City Sewer, City Water",-96.92445,32.594765,,,None,Central Air,Dallas,2,0.0,05/03/2022,"$340,000",2,0,2/0,2,2,3,2,0.147,"$340,000"
2960 Timber Creek  Trail ,River Trails Add,Fort Worth,9,9,"1,693",1,Electric,1994,"City Sewer, City Water",-97.18506,32.801361,,,Voluntary,Electric,Tarrant,2,0.0,05/06/2022,"$340,000",2,0,2/0,1,1,3,2,0.121,"$340,000"
3609 Ravenhill  Lane ,Glen Spgs Add,Arlington,5,5,"2,012",1,"Electric, Heat Pump",1979,"City Sewer, City Water",-97.164384,32.679919,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,04/26/2022,"$340,000",2,0,2/0,2,2,4,2,0.177,"$340,000"
5001 Village Stone  Court ,Quarry The,Fort Worth,5,5,"2,105",0,"Central, Electric",2006,"City Sewer, City Water, Curbs",-97.379614,32.835355,$88,Quarterly,Mandatory,"Central Air, Electric",Tarrant,2,0.0,05/09/2022,"$340,000",2,0,2/0,1,2,4,2,0.252,"$340,000"
5315 Colony Hill  Road ,Sutton Place,Fort Worth,9,9,"2,190",1,Electric,1980,"City Sewer, City Water",-97.240792,32.756535,,,None,Electric,Tarrant,2,0.0,05/10/2022,"$340,000",2,1,2/1,1,2,3,3,0.169,"$340,000"
5617 Bonnie Wayne  Street ,Browning Heights East,Haltom City,4,4,"2,044",1,"Central, Electric, Natural Gas",1960,"City Sewer, City Water",-97.262957,32.828187,,,None,"Central Air, Electric",Tarrant,2,0.0,05/17/2022,"$340,000",3,0,3/0,1,2,4,3,0.189,"$340,000"
2517 Breccia  Drive ,Chapin Village,Fort Worth,4,4,"1,892",0,"Central, Electric",2020,"City Sewer, City Water",-97.512268,32.736989,$330,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/19/2022,"$340,000",2,1,2/1,1,2,3,3,0.138,"$340,000"
3012 Jessica  Way ,Sunrise Meadows Ph II,Royse City,2,2,"2,267",1,Central,2008,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter",-96.333703,32.953269,$78,Annually,Mandatory,"Central Air, Electric",Rockwall,2,0.0,05/13/2022,"$340,000",2,1,2/1,2,2,4,3,0.201,"$340,000"
1057 Surrey  Circle ,Eastridge Add,Wylie,7,7,"1,428",1,"Electric, Fireplace(s)",1989,"City Sewer, City Water, Underground Utilities",-96.519179,33.013523,,,None,"Ceiling Fan(s), Electric",Collin,2,0.0,05/13/2022,"$340,000",2,0,2/0,1,1,3,2,0.17,"$340,000"
5316  NW Canfield  Lane ,Clements Ranch,Forney,3,3,"1,826",1,"Central, Natural Gas",2017,"Cable Available, City Sewer, City Water, Concrete, Curbs",-96.489983,32.7922,$500,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Kaufman,2,0.0,05/13/2022,"$340,000",2,0,2/0,1,1,3,2,0.138,"$340,000"
103 Aquilla  Drive ,Van Zandt Place Add,Lakeside,34,34,"1,729",1,Natural Gas,1963,"City Sewer, City Water",-97.496573,32.822446,,,None,Central Air,Tarrant,2,0.0,05/18/2022,"$340,000",2,0,2/0,1,2,3,2,0.275,"$340,000"
7959 Belladonna  Drive ,Columbus Heights Add,Fort Worth,6,6,"2,181",1,"Central, Fireplace(s), Natural Gas",2000,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Sidewalk, Underground Utilities",-97.391749,32.626241,$250,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/17/2022,"$340,000",2,0,2/0,2,1,3,2,0.126,"$340,000"
523 Trailblazer  Road ,Mustang Creek Ph 2,Forney,4,4,"1,706",1,Natural Gas,2004,"City Sewer, City Water, Sidewalk",-96.45273,32.759472,$125,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air",Kaufman,2,0.0,05/18/2022,"$340,000",2,0,2/0,1,2,3,2,0.132,"$340,000"
16325 Four Oaks  Drive ,Four Oaks,Kemp,17,17,"1,773",0,"Central, Electric",1994,"Asphalt, Co-op Water, Electricity Connected, Rural Water District, Septic",-96.171481,32.409166,,,None,"Central Air, Electric",Kaufman,0,0.0,04/29/2022,"$340,000",2,0,2/0,1,1,3,2,8.16,"$340,000"
5408 Summer Meadows  Drive ,Summer Creek Meadows Add,Fort Worth,3,3,"2,002",1,Central,2001,"All Weather Road, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter",-97.406817,32.636376,$145,Annually,Mandatory,"Central Air, Electric",Tarrant,2,0.0,05/18/2022,"$340,000",2,0,2/0,2,2,3,2,0.179,"$340,000"
438 Coombs Creek  Drive ,Irwindell Add 02 Instl,Dallas,5,5,"1,318",0,"Central, Natural Gas",1949,"Asphalt, Cable Available, City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter",-96.874807,32.741166,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/18/2022,"$340,000",2,0,2/0,2,1,2,2,0.181,"$340,000"
6748 Shadow Creek  Drive ,Cedar Crk Ranch Ph 1,Dallas,7,7,"3,289",0,"Central, Electric",2006,"Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Available, Individual Water Meter, Overhead Utilities, Phone Available, Sewer Available, Sidewalk, Other",-96.764449,32.654592,,,None,"Ceiling Fan(s), Central Air, Electric, Multi Units, Other",Dallas,2,0.0,05/13/2022,"$340,000",2,1,2/1,2,3,4,3,0.14,"$340,000"
8848 Mystic  Trail ,River Trails Add,Fort Worth,9,9,"1,755",1,Electric,1987,"City Sewer, City Water",-97.186733,32.799706,,,None,Electric,Tarrant,2,0.0,05/24/2022,"$340,000",2,0,2/0,2,2,3,2,0.12,"$340,000"
1309 Meadowlakes  Drive ,Bristol Farm Add,Azle,5,5,"1,728",0,"Central, Natural Gas",2015,"Cable Available, City Sewer, City Water, Curbs, Sidewalk, Underground Utilities",-97.520796,32.887624,$100,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/23/2022,"$340,000",2,0,2/0,1,1,3,2,0.22,"$340,000"
3933 Hanna Rose  Lane ,Big Bear Creek Meadows,Fort Worth,0,0,"1,669",0,"Central, Natural Gas",2012,"City Sewer, City Water, Curbs, Sidewalk, Underground Utilities",-97.275601,32.935609,$165,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/05/2022,"$340,000",2,0,2/0,1,1,3,2,0.152,"$340,000"
4661 Cool Ridge  Court ,Candleridge Add,Fort Worth,7,7,"2,080",1,"Central, Natural Gas",2002,"City Sewer, City Water, Concrete, Curbs",-97.395404,32.63597,$200,Annually,Mandatory,"Ceiling Fan(s), Central Air",Tarrant,2,0.0,04/18/2022,"$340,100",2,1,2/1,2,2,3,3,0.15,"$340,100"
4033 Longstraw  Drive ,Summerfields Add,Fort Worth,4,4,"1,677",1,"Central, Electric",1978,"Cable Available, City Sewer, City Water",-97.295809,32.867537,,,None,Electric,Tarrant,2,0.0,05/05/2022,"$340,168",2,0,2/0,1,1,3,2,0.214,"$340,168"
4528 Wheatland  Drive ,Glen Mills Village,Fort Worth,5,5,"1,706",1,"Central, Electric, Fireplace(s)",2005,"Asphalt, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Water Meter",-97.390263,32.886457,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/18/2022,"$340,400",2,0,2/0,1,1,3,2,0.115,"$340,400"
3824 Carlsbad  Way ,Arcadia Park Add,Fort Worth,5,5,"1,900",1,"Central, Natural Gas",2004,"City Sewer, City Water, Concrete, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-97.303498,32.897979,,,None,"Central Air, Electric",Tarrant,2,0.0,04/29/2022,"$341,000",2,0,2/0,1,1,4,2,0.126,"$341,000"
708 Bishop  Street ,Stonewood Heights Ph 02 Rep,Cedar Hill,7,7,"2,454",1,"Central, Electric, Natural Gas",1986,"City Sewer, City Water",-96.93007,32.576925,,,None,"Central Air, Electric",Dallas,0,0.0,04/25/2022,"$341,000",3,0,3/0,1,1,5,3,0.192,"$341,000"
4745 Homelands  Way ,Meadow Lakes,Fort Worth,4,4,"1,767",0,"Central, Electric",2008,"City Sewer, City Water",-97.433199,32.823819,,,None,"Ceiling Fan(s), Central Air",Tarrant,2,2.0,05/09/2022,"$341,000",2,0,2/0,1,1,3,2,0.117,"$341,000"
2953 Townsend  Drive ,Royalhaven Add Revision,Dallas,4,4,"1,364",0,Central,1959,"Cable Available, City Sewer, City Water",-96.879057,32.898935,,,None,"Ceiling Fan(s), Central Air",Dallas,1,0.0,05/18/2022,"$341,000",2,0,2/0,1,1,3,2,0.18,"$341,000"
1513 Phillip  Court ,White Oaks Estates,Irving,3,3,"1,786",1,"Central, Natural Gas",1968,"City Sewer, City Water, Individual Gas Meter",-96.963729,32.798841,,,None,"Central Air, Electric",Dallas,2,0.0,04/25/2022,"$341,053",2,0,2/0,2,1,3,2,0.174,"$341,053"
10404 Bing  Drive ,Chapel Creek Ranch Add,Fort Worth,5,5,"1,801",1,"Central, Natural Gas",1990,"City Sewer, City Water, Individual Gas Meter, Individual Water Meter",-97.505714,32.754337,,,None,"Central Air, Electric",Tarrant,2,0.0,04/27/2022,"$341,100",2,1,2/1,1,2,3,3,0.251,"$341,100"
6613 Cascade Canyon  Trail ,Trails Of Marine Creek The,Fort Worth,39,39,"1,590",0,Natural Gas,2010,"City Sewer, City Water",-97.420968,32.852955,$130,Annually,Mandatory,Central Air,Tarrant,2,0.0,05/24/2022,"$341,500",2,0,2/0,1,1,3,2,0.152,"$341,500"
2609 Chelsea  Court ,Meadowcreek Estates Ph IV,Rockwall,4,4,"1,889",1,"Central, Electric",2003,"City Sewer, City Water",-96.432223,32.90307,$220,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Rockwall,2,0.0,04/22/2022,"$341,950",2,0,2/0,2,1,4,2,0.248,"$341,950"
